Judul,Kategori,Author,Tanggal,Highlight,Link
"6 Resep Kue Sagon yang Gurih dan Manis, Camilan Jadul dari Kelapa",Hot,Ayu Rifka Sitoresmi,"29 Sep 2024, 08:00 WIB",Kue sagon merupakan salah satu kudapan tradisional Indonesia yang telah lama dikenal dan disukai oleh berbagai kalangan.,https://www.liputan6.com/hot/read/5711977/6-resep-kue-sagon-yang-gurih-dan-manis-camilan-jadul-dari-kelapa
Gatal di Kemaluan Tanda Diabetes? Waspadai Gejala Ini Sebelum Terlambat!,Health Info,Aditya Eka Prawira,"29 Sep 2024, 08:00 WIB",Waspada! Gatal di Kemaluan Bisa Jadi Tanda Awal Diabetes! Jangan anggap remeh gejala ini.,https://www.liputan6.com/health/read/5713845/gatal-di-kemaluan-tanda-diabetes-waspadai-gejala-ini-sebelum-terlambat
"Parade 7 Anime Anyar di Vidio, Ada Haikyuu!! Sampai Detective Conan Episode 1.066 ke Atas",Film,Ratnaning Asih,"29 Sep 2024, 08:00 WIB",Berikut link nonton anime terbaru yang tayang di Vidio.,https://www.liputan6.com/showbiz/read/5713667/parade-7-anime-anyar-di-vidio-ada-haikyuu-sampai-detective-conan-episode-1066-ke-atas
"Gedung Bakamla RI Kebakaran, Api Meluas di Bagian Atap",Peristiwa,Nanda Perdana Putra,"29 Sep 2024, 07:31 WIB","Kepala Dinas Gulkarmat DKI Jakarta Satriadi Gunawan menyampaikan, peristiwa itu terjadi sekitar pukul 06.20 WIB pagi ini, Minggu (29/9/2024).",https://www.liputan6.com/news/read/5714166/gedung-bakamla-ri-kebakaran-api-meluas-di-bagian-atap
"Gandeng Korea Selatan dan Belanda, Indonesia Susun Strategi Pembangunan Berkelanjutan Pant...",Ekonomi,Agustina Melani,"29 Sep 2024, 07:30 WIB",Pemerintah Indonesia berkomitmen untuk melindungi dan mengelola keberlanjutan Pantura Jawa.,https://www.liputan6.com/bisnis/read/5714159/gandeng-korea-selatan-dan-belanda-indonesia-susun-strategi-pembangunan-berkelanjutan-pantura-jawa
Bisakah Manusia Tetap Dicintai Allah meskipun Sering Berbuat Dosa?,Islami,Putry Damayanty,"29 Sep 2024, 07:30 WIB","Tidak ada manusia yang bebas dari dosa, namun Allah sungguh mencintai orang-orang yang mau kembali kepada-Nya dengan bertaubat.",https://www.liputan6.com/islami/read/5713687/bisakah-manusia-tetap-dicintai-allah-meskipun-sering-berbuat-dosa
"7 Ramalan Asmara Shio Babi Tahun 2024, Bersiaplah Temukan Cinta di Tempat Tak Terduga!",Hot,Ricka Milla Suatin,"29 Sep 2024, 07:28 WIB","Tahun 2024 diprediksi akan menjadi tahun penuh kejutan dan perubahan bagi mereka yang ber-Shio Babi, terutama dalam hal percintaan.",https://www.liputan6.com/hot/read/5713454/7-ramalan-asmara-shio-babi-tahun-2024-bersiaplah-temukan-cinta-di-tempat-tak-terduga
Kapolri Pimpin Pelantikan Sejumlah Kapolda dan Kukuhkan 2 Jabatan Baru di Polri,Peristiwa,Tim News,"29 Sep 2024, 07:21 WIB","Sigit melantik dua pejabat baru, yakni Komjen Pol Verdianto Iskandar Bitticaca sebagai Astamaops dan Komjen Pol Wahyu Hadiningrat sebagai Astamarena.",https://www.liputan6.com/news/read/5714146/kapolri-pimpin-pelantikan-sejumlah-kapolda-dan-kukuhkan-2-jabatan-baru-di-polri
"Akhir Pekan Minggu 29 September 2024, Tak Ada Aturan Ganjil Genap di Jakarta",Peristiwa,Nasrul Faiz,"29 Sep 2024, 07:00 WIB","Kebijakan ganjil genap di Jakarta memang tidak berlaku pada akhir pekan, yaitu Sabtu dan Minggu, serta pada hari libur nasional dan tanggal merah.",https://www.liputan6.com/news/read/5714148/akhir-pekan-minggu-29-september-2024-tak-ada-aturan-ganjil-genap-di-jakarta
"7 Potret Angga Yunanda dan Shenina Cinnamon Pacaran Sambil Kerja, Bak Prewed",Hot,Ibrahim Hasan,"29 Sep 2024, 07:00 WIB",Angga Yunanda dan Shenina Cinnamon diduga prewedding.,https://www.liputan6.com/hot/read/5713631/7-potret-angga-yunanda-dan-shenina-cinnamon-pacaran-sambil-kerja-bak-prewed
Luca Marini dan Joan Mir Puji Perkembangan Pembalap Muda Indonesia,Sports,Thomas,"29 Sep 2024, 07:00 WIB",Dua pembalap MotoGP memuji perkembangan para pembalap muda Indonesia dan berharap mereka bisa berkembang hingga menembus kelas para raja.,https://www.liputan6.com/bola/read/5713957/luca-marini-dan-joan-mir-puji-perkembangan-pembalap-muda-indonesia
Review: Manisnya Parfum Lokal PERFUME REPUBLIC Beraroma Permen YUPI,Lifestyle,Asnida Riani,"29 Sep 2024, 07:00 WIB",Dua varian parfum PERFUME REPUBLIC X YUPI diformulasikan untuk menghadirkan kembali kenangan masa kecil yang indah dan penuh kegembiraan.,https://www.liputan6.com/lifestyle/read/5713585/review-manisnya-parfum-lokal-perfume-republic-beraroma-permen-yupi
"Link Nonton Drakor Iron Family yang Tayang Tiap Minggu dan Senin di Vidio, Geum Sae Rok Ja...",K-Pop,Ratnaning Asih,"29 Sep 2024, 07:00 WIB",Iron Family akan mulai tayang di Vidio pada 29 September mendatang.,https://www.liputan6.com/showbiz/read/5713064/link-nonton-drakor-iron-family-yang-tayang-tiap-minggu-dan-senin-di-vidio-geum-sae-rok-jadi-penerus-usaha-laundry
"Hari Hak untuk Tahun Sedunia, Komisi Informasi Pusat Gelar Fun Walk di CFD Sudirman-Thamri...",Peristiwa,Nanda Perdana Putra,"29 Sep 2024, 06:46 WIB","Komisi Informasi Pusat memperingati Hari Hak Untuk Tahu Sedunia dengan menggelar  fun walk di car free day (CFD) Jalan Sudirman-Thamrin, Jakarta.",https://www.liputan6.com/news/read/5714153/hari-hak-untuk-tahun-sedunia-komisi-informasi-pusat-gelar-fun-walk-di-cfd-sudirman-thamrin
"Top 3 Islami: Amalan Pendek agar Rezeki Lancar dan Dijawab Malaikat dari Gus Baha, Doa Sub...",Islami,Muhamad Ridlo,"29 Sep 2024, 06:30 WIB","Top 3 Islami: Amalan Pendek dan Mudah agar Rezeki Mengalir Deras dari Gus Baha, Doa Subuh supaya Semangat Beraktivitas",https://www.liputan6.com/islami/read/5713905/top-3-islami-amalan-pendek-agar-rezeki-lancar-dan-dijawab-malaikat-dari-gus-baha-doa-subuh-supaya-semangat-beraktivitas
"5 Zodiak yang Terkenal Sangat Hemat, Bahkan untuk Keperluan Pribadi",Hot,Ricka Milla Suatin,"29 Sep 2024, 06:28 WIB","Jika dikaitkan dengan kepribadian astrologi, ada lima zodiak yang dikenal sangat hemat dalam membelanjakan uang, bahkan untuk kebutuhan pribadi mereka.",https://www.liputan6.com/hot/read/5713442/5-zodiak-yang-terkenal-sangat-hemat-bahkan-untuk-keperluan-pribadi
Cuaca Hari Ini Minggu 29 September 2024: Langit Pagi Jakarta Seluruhnya Cerah Berawan,Peristiwa,Arviola Marchsyalina Syurgandari,"29 Sep 2024, 06:15 WIB","Pada akhir pekan ini, Minggu (29/9/2024), cuaca pagi di wilayah Jakarta dan Kepulauan Seribu, diperkirakan akan didominasi oleh langit cerah berawan. Demikianlah prakiraan cuaca hari ini.",https://www.liputan6.com/news/read/5713884/cuaca-hari-ini-minggu-29-september-2024-langit-pagi-jakarta-seluruhnya-cerah-berawan
"Posisi 3 di Sprint Race MotoGP Indonesia 2024, Marc Marquez Dapat Tambahan Poin Penting",Oto News,Septian Pamungkas,"29 Sep 2024, 06:08 WIB","Start dari posisi 12, Marc Marquez mampu menuntaskan balapan di posisi tiga (3) di MotoGP Indonesia 2024.",https://www.liputan6.com/otomotif/read/5714000/posisi-3-di-sprint-race-motogp-indonesia-2024-marc-marquez-dapat-tambahan-poin-penting
Momen Pramono Anung Dicurhati Warga Jakarta Saat Blusukan di Rusun Tanah Tinggi,Pemilu,Putu Merta Surya Putra,"29 Sep 2024, 06:00 WIB","Calon Gubernur Jakarta Pramono Anung menyempatkan blusukan dan menemui warga di Rumah Susun (Rusun) Tanah Tinggi, Jakarta, Sabtu (28/9/2024).",https://www.liputan6.com/pemilu/read/5714132/momen-pramono-anung-dicurhati-warga-jakarta-saat-blusukan-di-rusun-tanah-tinggi
Saham Trump Media Naik 5% Usai Para Pendiri Lakukan Aksi Jual,Saham,Pipit Ika Ramadhani,"29 Sep 2024, 06:00 WIB","Saham Trump Media (Nasdaq:DJT) ditutup naik 5,58% pada hari Jumat waktu setempat, mengakhiri pekan ini pada posisi 14,76 per saham. Kenaikan terjadi setelah pemegang saham utama United Atlantic Ventures (UAV), LLC, menjual hampir 11 juta saham di perusahaan tersebut pada hari Kamis.",https://www.liputan6.com/saham/read/5713962/saham-trump-media-naik-5-usai-para-pendiri-lakukan-aksi-jual
Harga Bitcoin Tunjukan Korelasi Positif 30 Hari dengan Neraca Keuangan Bank Sentral China,Crypto,Maulandy Rizky Bayu Kencana,"29 Sep 2024, 06:00 WIB","Harga Bitcoin (BTC) terlihat selalu mengikuti pertumbuhan neraca bank sentral China selama 8 tahun terakhir, mempertahankan korelasi positif 30 hari yang signifikan.",https://www.liputan6.com/crypto/read/5713524/harga-bitcoin-tunjukan-korelasi-positif-30-hari-dengan-neraca-keuangan-bank-sentral-china
"Manchester United Pernah Tawar Wonderkid Barcelona Rp1,6 Triliun, Beruntung Ditolak",Liga Spanyol,Rahmat Fathurahman,"29 Sep 2024, 06:00 WIB","Manchester United dikabarkan pernah mengajukan tawaran senilai sekitar 84 juta poundsterling atau sekitar Rp1,6 triliun yang memboyong wonderkid Barcelona, Ansu Fati, pada 2020.",https://www.liputan6.com/bola/read/5712184/manchester-united-pernah-tawar-wonderkid-barcelona-rp16-triliun-beruntung-ditolak
